timepoint,cd_name,empty_slots,free_bikes,slots
13,Belmont and East Tremont (CD6),16,15,35
13,Borough Park (CD12),23,168,202
13,Brownsville (CD16),303,85,403
13,Bushwick (CD4),770,403,1255
13,Central Harlem (CD10),355,625,1085
13,Clinton and Chelsea (CD4),1201,1267,2921
13,Crown Heights and Prospect Heights (CD8),703,374,1204
13,East Flatbush (CD17),17,548,591
13,East Harlem (CD11),406,645,1160
13,East New York and Starrett City (CD5),13,7,21
13,Elmhurst and Corona (CD4),154,428,600
13,Financial District (CD1),987,1654,2869
13,Flatbush and Midwood (CD14),43,386,461
13,Fordham and University Heights (CD5),544,248,860
13,Fort Greene and Brooklyn Heights (CD2),1291,1801,3365
13,Greenpoint and Williamsburg (CD1),1001,2205,3415
13,Greenwich Village and Soho (CD2),1013,1775,3161
13,Highbridge and Concourse (CD4),537,646,1294
13,Hunts Point and Longwood (CD2),208,217,449
13,Jackson Heights (CD3),826,738,1632
13,Kingsbridge Heights and Bedford (CD7),471,361,930
13,Long Island City and Astoria (CD1),1236,1573,2985
13,Lower East Side and Chinatown (CD3),917,1884,3096
13,Midtown (CD5),3478,648,4692
13,Morningside Heights and Hamilton Heights (CD9),616,285,1004
13,Morrisania and Crotona (CD3),339,413,832
13,Mott Haven and Melrose (CD1),473,544,1115
13,Park Slope and Carroll Gardens (CD6),517,1325,2079
13,Ridgewood and Maspeth (CD5),670,644,1380
13,South Crown Heights and Lefferts Gardens (CD9),397,627,1074
13,Stuyvesant Town and Turtle Bay (CD6),1475,742,2483
13,Sunset Park (CD7),515,1062,1648
13,Upper East Side (CD8),1067,811,2063
13,Upper West Side (CD7),707,844,1814
13,Washington Heights and Inwood (CD12),594,550,1236
13,Woodside and Sunnyside (CD2),1054,975,2154
14,Bay Ridge and Dyker Heights (CD10),16,71,93
14,Bedford Stuyvesant (CD3),768,504,1404
14,Belmont and East Tremont (CD6),15,16,35
14,Borough Park (CD12),21,170,202
14,Brownsville (CD16),305,82,403
14,Bushwick (CD4),764,411,1255
14,Central Harlem (CD10),351,630,1085
14,Clinton and Chelsea (CD4),1169,1296,2921
14,Crown Heights and Prospect Heights (CD8),691,389,1204
14,East Flatbush (CD17),18,547,591
14,East Harlem (CD11),396,656,1160
14,East New York and Starrett City (CD5),13,7,21
14,Elmhurst and Corona (CD4),156,426,600
14,Financial District (CD1),994,1649,2869
14,Flatbush and Midwood (CD14),36,392,461
14,Fordham and University Heights (CD5),546,248,860
14,Fort Greene and Brooklyn Heights (CD2),1285,1820,3365
14,Greenpoint and Williamsburg (CD1),1029,2177,3415
14,Greenwich Village and Soho (CD2),1059,1731,3161
14,Highbridge and Concourse (CD4),543,643,1294
14,Hunts Point and Longwood (CD2),211,214,449
14,Jackson Heights (CD3),823,743,1632
14,Kingsbridge Heights and Bedford (CD7),471,360,930
14,Long Island City and Astoria (CD1),1227,1582,2985
14,Lower East Side and Chinatown (CD3),917,1888,3096
14,Midtown (CD5),3523,610,4692
14,Morningside Heights and Hamilton Heights (CD9),612,288,1004
14,Morrisania and Crotona (CD3),332,418,832
14,Mott Haven and Melrose (CD1),471,547,1115
14,Park Slope and Carroll Gardens (CD6),519,1323,2079
14,Ridgewood and Maspeth (CD5),656,659,1380
14,South Crown Heights and Lefferts Gardens (CD9),382,641,1074
14,Stuyvesant Town and Turtle Bay (CD6),1453,760,2483
14,Sunset Park (CD7),509,1065,1648
14,Upper East Side (CD8),1051,824,2063
14,Upper West Side (CD7),700,856,1814
14,Washington Heights and Inwood (CD12),590,553,1236
14,Woodside and Sunnyside (CD2),1042,991,2154
15,Bay Ridge and Dyker Heights (CD10),16,70,93
15,Bedford Stuyvesant (CD3),765,514,1404
15,Belmont and East Tremont (CD6),15,16,35
