measurement_id,formula_string,formula_class,C,H,O,N,S
7937,C17 H13 N1 O5,CHNO,17,13,5,1,0
7937,C25 H36 O10,CHO,25,36,10,0,0
7937,C10 H11 N1 O6,CHNO,10,11,6,1,0
7937,C30 H44 O11,CHO,30,44,11,0,0
7937,C11 H4 O7,CHO,11,4,7,0,0
7937,C17 H21 N1 O4,CHNO,17,21,4,1,0
7937,C15 H20 O11,CHO,15,20,11,0,0
7937,C28 H42 O8,CHO,28,42,8,0,0
7937,C24 H36 O10,CHO,24,36,10,0,0
7937,C28 H36 O14,CHO,28,36,14,0,0
7937,C21 H32 O12,CHO,21,32,12,0,0
7937,C24 H34 O10,CHO,24,34,10,0,0
7937,C25 H40 O10,CHO,25,40,10,0,0
7937,C10 H8 O3,CHO,10,8,3,0,0
7937,C17 H17 N1 O5,CHNO,17,17,5,1,0
7937,C22 H28 O5,CHO,22,28,5,0,0
7937,C20 H17 N1 O10,CHNO,20,17,10,1,0
7937,C21 H36 O7,CHO,21,36,7,0,0
7937,C18 H10 O8,CHO,18,10,8,0,0
7937,C24 H38 O7,CHO,24,38,7,0,0
7937,C23 H30 O9,CHO,23,30,9,0,0
7937,C7 H8 O7,CHO,7,8,7,0,0
7937,C12 H18 O5 S1,CHOS,12,18,5,0,1
7937,C21 H19 N1 O9,CHNO,21,19,9,1,0
7937,C19 H12 O4 S1,CHOS,19,12,4,0,1
7937,C29 H36 O11,CHO,29,36,11,0,0
7937,C22 H18 O6,CHO,22,18,6,0,0
7937,C16 H20 N2 O8,CHNO,16,20,8,2,0
7937,C14 H28 O6,CHO,14,28,6,0,0
7937,C11 H10 O2,CHO,11,10,2,0,0
7937,C11 H12 O7,CHO,11,12,7,0,0
7937,C22 H32 O12,CHO,22,32,12,0,0
7937,C23 H22 O15,CHO,23,22,15,0,0
7937,C16 H21 N1 O10,CHNO,16,21,10,1,0
7937,C22 H19 N1 O11,CHNO,22,19,11,1,0
7937,C11 H6 O3,CHO,11,6,3,0,0
7937,C26 H33 N1 O9,CHNO,26,33,9,1,0
7937,C16 H18 N2 O8,CHNO,16,18,8,2,0
7937,C18 H24 O10 S1,CHOS,18,24,10,0,1
7937,C24 H24 O8,CHO,24,24,8,0,0
7937,C26 H18 O9,CHO,26,18,9,0,0
7937,C12 H8 O5,CHO,12,8,5,0,0
7937,C16 H31 N1 O6,CHNO,16,31,6,1,0
7937,C23 H20 O12,CHO,23,20,12,0,0
7937,C27 H40 O7,CHO,27,40,7,0,0
7937,C16 H11 N1 O8,CHNO,16,11,8,1,0
7937,C14 H20 O6,CHO,14,20,6,0,0
7937,C19 H13 N1 O9,CHNO,19,13,9,1,0
7937,C18 H23 N1 O4,CHNO,18,23,4,1,0
7937,C24 H32 O10,CHO,24,32,10,0,0
7937,C24 H36 O7,CHO,24,36,7,0,0
7937,C26 H26 O14,CHO,26,26,14,0,0
7937,C21 H22 N2 O10,CHNO,21,22,10,2,0
7937,C28 H30 O9,CHO,28,30,9,0,0
7937,C14 H10 O7,CHO,14,10,7,0,0
7937,C10 H9 N1 O7,CHNO,10,9,7,1,0
7937,C22 H36 O9,CHO,22,36,9,0,0
7937,C20 H38 O6,CHO,20,38,6,0,0
7937,C23 H32 O8,CHO,23,32,8,0,0
7937,C24 H28 O15,CHO,24,28,15,0,0
7937,C25 H38 O8,CHO,25,38,8,0,0
7937,C23 H18 O10,CHO,23,18,10,0,0
