timepoint,cd_name,empty_slots,free_bikes,slots
8,Upper West Side (CD7),697,935,1884
8,Washington Heights and Inwood (CD12),778,620,1515
8,Woodside and Sunnyside (CD2),1059,1034,2218
9,Bay Ridge and Dyker Heights (CD10),22,110,146
9,Bedford Stuyvesant (CD3),743,511,1372
9,Belmont and East Tremont (CD6),294,99,425
9,Borough Park (CD12),22,219,252
9,Brownsville (CD16),339,109,459
9,Bushwick (CD4),809,555,1449
9,Central Harlem (CD10),341,651,1092
9,Clinton and Chelsea (CD4),1390,1574,3438
9,Crown Heights and Prospect Heights (CD8),580,425,1108
9,East Flatbush (CD17),19,546,589
9,East Harlem (CD11),413,685,1209
9,East New York and Starrett City (CD5),50,11,66
9,Elmhurst and Corona (CD4),296,681,1013
9,Financial District (CD1),974,1627,2809
9,Flatbush and Midwood (CD14),30,461,526
9,Fordham and University Heights (CD5),581,296,955
9,Fort Greene and Brooklyn Heights (CD2),1293,1751,3275
9,Greenpoint and Williamsburg (CD1),1070,2194,3453
9,Greenwich Village and Soho (CD2),1148,1575,3060
9,Highbridge and Concourse (CD4),566,623,1289
9,Hunts Point and Longwood (CD2),233,236,491
9,Jackson Heights (CD3),908,806,1783
9,Kingsbridge Heights and Bedford (CD7),521,398,1026
9,Long Island City and Astoria (CD1),1204,1670,3046
9,Lower East Side and Chinatown (CD3),1047,2431,3864
9,Midtown (CD5),3233,508,4178
9,Morningside Heights and Hamilton Heights (CD9),673,308,1094
9,Morrisania and Crotona (CD3),324,429,830
9,Mott Haven and Melrose (CD1),463,588,1151
9,Park Slope and Carroll Gardens (CD6),542,1363,2132
9,Ridgewood and Maspeth (CD5),644,679,1380
9,Riverdale and Fieldston (CD8),156,10,167
9,South Crown Heights and Lefferts Gardens (CD9),416,656,1128
9,Stuyvesant Town and Turtle Bay (CD6),1386,851,2496
9,Sunset Park (CD7),527,1102,1699
9,Upper East Side (CD8),1104,776,2088
9,Upper West Side (CD7),690,946,1884
9,Washington Heights and Inwood (CD12),779,619,1515
9,Woodside and Sunnyside (CD2),1059,1035,2218
10,Bay Ridge and Dyker Heights (CD10),22,110,146
10,Bedford Stuyvesant (CD3),743,512,1372
10,Belmont and East Tremont (CD6),295,99,425
10,Borough Park (CD12),22,219,252
10,Brownsville (CD16),340,108,459
10,Bushwick (CD4),808,555,1449
10,Central Harlem (CD10),337,655,1092
10,Clinton and Chelsea (CD4),1353,1610,3438
10,Crown Heights and Prospect Heights (CD8),579,427,1108
10,East Flatbush (CD17),19,546,589
10,East Harlem (CD11),413,689,1209
10,East New York and Starrett City (CD5),49,12,66
10,Elmhurst and Corona (CD4),293,684,1013
10,Financial District (CD1),972,1632,2809
10,Flatbush and Midwood (CD14),30,461,526
10,Fordham and University Heights (CD5),581,298,955
10,Fort Greene and Brooklyn Heights (CD2),1293,1755,3275
10,Greenpoint and Williamsburg (CD1),1077,2193,3453
10,Greenwich Village and Soho (CD2),1133,1589,3060
10,Highbridge and Concourse (CD4),571,620,1289
10,Hunts Point and Longwood (CD2),234,235,491
10,Jackson Heights (CD3),913,801,1783
10,Kingsbridge Heights and Bedford (CD7),520,402,1026
