formula_string,C,H,O,N,S
C32 H16 O19,32,16,19,0,0
C23 13C1 H14 O15,23,14,15,0,0
C22 13C1 H24 O15,22,24,15,0,0
C27 H28 O21,27,28,21,0,0
C25 H18 N2 O20,25,18,20,2,0
C17 H15 N1 O20,17,15,20,1,0
C12 H10 O10 S1,12,10,10,0,1
C28 H22 N2 O21 S1,28,22,21,2,1
C25 H14 O17,25,14,17,0,0
C35 H34 O22,35,34,22,0,0
C12 13C1 H10 O8,12,10,8,0,0
C23 H17 N1 O13,23,17,13,1,0
C26 H12 O19,26,12,19,0,0
C23 H19 N1 O15,23,19,15,1,0
C16 13C1 H14 O11 S1,16,14,11,0,1
C16 H15 N1 O12,16,15,12,1,0
C18 13C1 H18 O10,18,18,10,0,0
C21 H10 O15,21,10,15,0,0
C15 H8 O12,15,8,12,0,0
C35 H72 S1,35,72,0,0,1
C11 H13 N1 O8,11,13,8,1,0
C16 H10 O11,16,10,11,0,0
C17 H16 N2 O10,17,16,10,2,0
C27 13C1 H24 O16,27,24,16,0,0
C16 H15 N1 O10,16,15,10,1,0
C24 13C1 H16 O17,24,16,17,0,0
C21 H24 O10,21,24,10,0,0
C12 H10 O3,12,10,3,0,0
C23 H26 O16,23,26,16,0,0
C18 H18 O9,18,18,9,0,0
C18 H15 N1 O9,18,15,9,1,0
C18 H19 N1 O9,18,19,9,1,0
C13 H6 O3 S1,13,6,3,0,1
C21 H26 O14,21,26,14,0,0
C29 13C1 H28 O19,29,28,19,0,0
C21 H20 N2 O23 S1,21,20,23,2,1
C29 H16 O21,29,16,21,0,0
C24 H21 N1 O21,24,21,21,1,0
C9 H8 O6,9,8,6,0,0
C29 13C1 H26 O19,29,26,19,0,0
C14 H17 N1 O9,14,17,9,1,0
C40 H72 O6 S1,40,72,6,0,1
C17 13C1 H14 O10,17,14,10,0,0
C14 H8 O3,14,8,3,0,0
C30 13C1 H22 O20,30,22,20,0,0
C20 H19 N1 O12,20,19,12,1,0
C25 13C1 H22 O18,25,22,18,0,0
C31 H30 O23,31,30,23,0,0
C6 13C1 H10 O6,6,10,6,0,0
C17 H12 O9,17,12,9,0,0
C20 H23 N1 O14,20,23,14,1,0
C14 H14 O8,14,14,8,0,0
C13 H8 O11,13,8,11,0,0
C21 13C1 H15 N1 O16 S1,21,15,16,1,1
C16 H16 O12,16,16,12,0,0
C15 H16 N2 O10,15,16,10,2,0
C24 H16 O14,24,16,14,0,0
C23 H18 O12,23,18,12,0,0
C14 13C1 H20 O10,14,20,10,0,0
C28 H32 O20,28,32,20,0,0
C23 13C1 H28 O15,23,28,15,0,0
C12 H10 O12 S1,12,10,12,0,1
C31 H18 N2 O14,31,18,14,2,0
C16 H21 N1 O10,16,21,10,1,0
C19 H20 O10,19,20,10,0,0
C39 H75 N1 O2 S1,39,75,2,1,1
C19 H18 O9,19,18,9,0,0
C13 H18 O11,13,18,11,0,0
C19 H26 O11,19,26,11,0,0
C21 H14 N2 O13 S1 34S1,21,14,13,2,1
C38 H71 N1 O6,38,71,6,1,0
C21 H19 N1 O12,21,19,12,1,0
C36 H24 O24,36,24,24,0,0
C21 H8 N2 O12 S1,21,8,12,2,1
C27 H20 O18,27,20,18,0,0
C22 H18 O18,22,18,18,0,0
C18 H14 N2 O18,18,14,18,2,0
C30 H25 N1 O18,30,25,18,1,0
C38 H78 O4,38,78,4,0,0
C11 H14 O10 S1,11,14,10,0,1
C19 H16 O14,19,16,14,0,0
C22 13C1 H18 O14,22,18,14,0,0
C20 H12 O10 S1,20,12,10,0,1
C24 H10 N2 O14,24,10,14,2,0
C10 H12 O4,10,12,4,0,0
C14 H20 N2 O14 S1,14,20,14,2,1
C22 H16 O12,22,16,12,0,0
C31 H22 O21,31,22,21,0,0
C38 H76 N2 O4,38,76,4,2,0
C8 H6 O8,8,6,8,0,0
C11 H7 N1 O9,11,7,9,1,0
C24 H18 O15,24,18,15,0,0
C27 H19 N1 O17,27,19,17,1,0
C15 H12 O4,15,12,4,0,0
C19 H23 N1 O16 34S1,19,23,16,1,0
C20 H24 O11,20,24,11,0,0
C23 13C1 H24 O19,23,24,19,0,0
C18 13C1 H16 N2 O19,18,16,19,2,0
C20 H19 N1 O17 S1,20,19,17,1,1
C10 H12 O11 S1,10,12,11,0,1
C8 H5 N1 O7,8,5,7,1,0
C19 H14 O4 S1,19,14,4,0,1
C25 H14 O16,25,14,16,0,0
C42 H76 N2 O9,42,76,9,2,0
C14 H18 N2 O15 S1,14,18,15,2,1
C22 H14 O13,22,14,13,0,0
C28 H26 O16,28,26,16,0,0
C16 13C1 H16 O12,16,16,12,0,0
C24 H24 N2 O24 S1,24,24,24,2,1
C32 H20 O22,32,20,22,0,0
C26 H20 O16,26,20,16,0,0
C30 13C1 H24 O20,30,24,20,0,0
C15 H10 O14,15,10,14,0,0
C25 H19 N1 O16,25,19,16,1,0
C8 13C1 H6 O8,8,6,8,0,0
C25 H22 N2 O24 S1,25,22,24,2,1
C33 H18 O22,33,18,22,0,0
C14 H15 N1 O11,14,15,11,1,0
C12 H14 O12 S1,12,14,12,0,1
C24 H15 N1 O14,24,15,14,1,0
C23 H16 N2 O20,23,16,20,2,0
C28 H19 N1 O18 34S1,28,19,18,1,0
C27 H17 N1 O21,27,17,21,1,0
C25 H26 O16,25,26,16,0,0
C22 H22 N2 O13,22,22,13,2,0
C36 H74 O10,36,74,10,0,0
C16 13C1 H12 O10,16,12,10,0,0
C22 H22 O17,22,22,17,0,0
C16 H19 N1 O12,16,19,12,1,0
C24 H16 O15,24,16,15,0,0
C19 H18 O10,19,18,10,0,0
C39 H74 O6,39,74,6,0,0
C10 H13 N1 O6,10,13,6,1,0
C20 H23 N1 O12,20,23,12,1,0
C36 H74 O3 34S1,36,74,3,0,0
C29 H16 N2 O17,29,16,17,2,0
C8 13C1 H6 O10,8,6,10,0,0
C24 H24 O13,24,24,13,0,0
C23 13C1 H28 O14,23,28,14,0,0
C14 H16 O15 S1,14,16,15,0,1
C32 H32 O18,32,32,18,0,0
C15 H12 O7,15,12,7,0,0
C34 H32 O23,34,32,23,0,0
C16 H10 N2 O13 S1,16,10,13,2,1
C27 H28 N2 O22 S1,27,28,22,2,1
C17 13C1 H16 O10,17,16,10,0,0
C26 H25 N1 O16,26,25,16,1,0
C16 H25 N1 O9,16,25,9,1,0
C27 H10 N2 O22,27,10,22,2,0
C39 H76 O3 S1,39,76,3,0,1
C24 H28 O17,24,28,17,0,0
C32 H26 O24,32,26,24,0,0
C14 H12 O13,14,12,13,0,0
C22 H20 O11,22,20,11,0,0
C15 H13 N1 O10,15,13,10,1,0
C36 H28 O22,36,28,22,0,0
C23 H24 O16,23,24,16,0,0
C27 H26 O15,27,26,15,0,0
C14 13C1 H18 O15 S1,14,18,15,0,1
C30 H28 O23,30,28,23,0,0
C29 H32 N2 O23 S1,29,32,23,2,1
C37 H28 O21,37,28,21,0,0
C19 13C1 H14 O15,19,14,15,0,0
C30 13C1 H26 O23,30,26,23,0,0
C29 H28 O20,29,28,20,0,0
C11 H12 O12 S1,11,12,12,0,1
C30 H26 N2 O27 S1,30,26,27,2,1
C39 H38 O24,39,38,24,0,0
C27 13C1 H20 O20,27,20,20,0,0
C33 H31 N1 O20,33,31,20,1,0
C19 H24 O14,19,24,14,0,0
C21 H11 N1 O12,21,11,12,1,0
C18 H14 N2 O20,18,14,20,2,0
C32 H26 O19,32,26,19,0,0
C20 H18 N2 O19,20,18,19,2,0
C20 H10 O13,20,10,13,0,0
C9 H16 N2 O10 S1 34S1,9,16,10,2,1
C19 H20 N2 O10,19,20,10,2,0
C22 13C1 H18 O15 S1,22,18,15,0,1
C17 H18 O13,17,18,13,0,0
C12 13C1 H14 O7,12,14,7,0,0
C13 H6 O11,13,6,11,0,0
C14 H20 O8,14,20,8,0,0
C25 H28 O17,25,28,17,0,0
C29 H24 O17 S1,29,24,17,0,1
C19 13C1 H18 O12,19,18,12,0,0
C9 13C1 H12 O7,9,12,7,0,0
C39 H32 O27,39,32,27,0,0
C22 H24 O17,22,24,17,0,0
C20 13C1 H22 O17,20,22,17,0,0
C12 H18 O9,12,18,9,0,0
C32 H28 O17,32,28,17,0,0
C30 H24 O18,30,24,18,0,0
C38 13C1 H78 O10,38,78,10,0,0
C19 H6 N2 O10,19,6,10,2,0
C26 H28 O17,26,28,17,0,0
C20 H12 O13,20,12,13,0,0
C26 H28 O18,26,28,18,0,0
C27 H22 N2 O22 S1,27,22,22,2,1
C14 13C1 H12 O7,14,12,7,0,0
C25 H28 O14,25,28,14,0,0
C46 13C1 H74 O4,46,74,4,0,0
C13 13C1 H14 O7,13,14,7,0,0
C24 H14 O19,24,14,19,0,0
C28 13C1 H16 O19,28,16,19,0,0
C19 H10 O15,19,10,15,0,0
C28 13C1 H30 O21,28,30,21,0,0
C21 H26 O16,21,26,16,0,0
C20 H18 O12,20,18,12,0,0
C11 H16 O8,11,16,8,0,0
C24 H18 O14,24,18,14,0,0
C23 H20 N2 O19,23,20,19,2,0
C17 13C1 H14 O13,17,14,13,0,0
C27 H21 N1 O18,27,21,18,1,0
C27 H18 O16,27,18,16,0,0
C19 H9 N1 O12,19,9,12,1,0
C22 13C1 H20 O12,22,20,12,0,0
C29 H18 O21,29,18,21,0,0
C21 H13 N1 O9 S1,21,13,9,1,1
C15 H20 O15 S1,15,20,15,0,1
C18 13C1 H16 O12,18,16,12,0,0
C35 H32 O23,35,32,23,0,0
C24 13C1 H26 N2 O23 S1,24,26,23,2,1
C21 H9 N1 O15,21,9,15,1,0
C14 H8 O9,14,8,9,0,0
C26 13C1 H24 O17,26,24,17,0,0
C26 H25 N1 O17,26,25,17,1,0
C37 H70 O7,37,70,7,0,0
C25 13C1 H24 O20,25,24,20,0,0
C13 H6 O10,13,6,10,0,0
C20 H14 O14,20,14,14,0,0
C25 H17 N1 O16 S1,25,17,16,1,1
C14 H18 O14 S1,14,18,14,0,1
C24 H24 O17,24,24,17,0,0
C31 H28 O20,31,28,20,0,0
C32 H30 O19,32,30,19,0,0
C21 H8 O8 S1,21,8,8,0,1
C23 H22 N2 O20 S1,23,22,20,2,1
C31 H18 O18,31,18,18,0,0
C42 H76 O7 S1,42,76,7,0,1
C16 H16 O11,16,16,11,0,0
C37 13C1 H74 N2 O3 S1,37,74,3,2,1
C33 H21 N1 O24,33,21,24,1,0
C21 H23 N1 O12,21,23,12,1,0
C26 H32 O18,26,32,18,0,0
C21 H13 N1 O14 S1,21,13,14,1,1
C19 H22 O9,19,22,9,0,0
C25 H22 O13,25,22,13,0,0
C30 H30 O20,30,30,20,0,0
C42 H72 N2 O2,42,72,2,2,0
C42 H73 N1 O4,42,73,4,1,0
C17 H24 O10,17,24,10,0,0
C20 13C1 H22 O13,20,22,13,0,0
C26 H22 O17,26,22,17,0,0
C16 13C1 H12 O12,16,12,12,0,0
C31 H16 N2 O18,31,16,18,2,0
C37 H72 O5,37,72,5,0,0
C14 H15 N1 O6,14,15,6,1,0
C18 H22 O13,18,22,13,0,0
C18 13C1 H24 O14,18,24,14,0,0
C28 H24 N2 O18 34S1,28,24,18,2,0
C25 H20 O15,25,20,15,0,0
C25 13C1 H28 O16,25,28,16,0,0
C38 H76 O5,38,76,5,0,0
C42 H80 O4 S1,42,80,4,0,1
C9 H16 N2 O5 S1,9,16,5,2,1
C26 H19 N1 O16,26,19,16,1,0
C26 H16 O16,26,16,16,0,0
C12 H14 O8,12,14,8,0,0
C9 13C1 H8 O9,9,8,9,0,0
C12 H16 O9,12,16,9,0,0
C30 H27 N1 O17,30,27,17,1,0
C20 H18 O14,20,18,14,0,0
C21 H15 N1 O21,21,15,21,1,0
C18 H12 O16,18,12,16,0,0
C18 H13 N1 O12,18,13,12,1,0
C18 H14 O13 S1,18,14,13,0,1
C38 H78 O5,38,78,5,0,0
C14 H10 O7,14,10,7,0,0
C18 H18 N2 O10,18,18,10,2,0
C18 H18 O16,18,18,16,0,0
C36 H72 S1,36,72,0,0,1
C26 H26 O16,26,26,16,0,0
C20 13C1 H12 O16,20,12,16,0,0
C28 H16 N2 O18 S1,28,16,18,2,1
C39 H79 N1 O9,39,79,9,1,0
C12 H10 O8,12,10,8,0,0
C30 H22 O18,30,22,18,0,0
C18 H8 O13,18,8,13,0,0
C15 H12 O6,15,12,6,0,0
C19 H14 O12,19,14,12,0,0
C15 H10 O4,15,10,4,0,0
C30 13C1 H22 O21,30,22,21,0,0
C25 H8 N2 O13,25,8,13,2,0
C37 H26 O25,37,26,25,0,0
C35 H26 O21,35,26,21,0,0
C16 13C1 H16 O11,16,16,11,0,0
C34 H29 N1 O19 S1,34,29,19,1,1
C24 13C1 H22 O16,24,22,16,0,0
C22 H24 O11,22,24,11,0,0
C13 H14 O6,13,14,6,0,0
C25 H20 O18,25,20,18,0,0
C28 H19 N1 O18 S1,28,19,18,1,1
C39 H71 N1 O4 S1,39,71,4,1,1
C25 H20 N2 O20,25,20,20,2,0
C18 H19 N1 O13,18,19,13,1,0
C14 H14 O3,14,14,3,0,0
C24 H16 N2 O21,24,16,21,2,0
C30 H29 N1 O18 S1,30,29,18,1,1
C15 13C1 H16 O12,15,16,12,0,0
C21 H14 O13,21,14,13,0,0
C27 13C1 H18 O19,27,18,19,0,0
C24 H22 O18,24,22,18,0,0
C31 H29 N1 O25,31,29,25,1,0
C33 H25 N1 O25,33,25,25,1,0
C16 H17 N1 O11,16,17,11,1,0
C19 H13 N1 O12,19,13,12,1,0
C26 H16 O20,26,16,20,0,0
C24 H18 O16,24,18,16,0,0
C23 H22 O12,23,22,12,0,0
C19 H12 O13,19,12,13,0,0
C26 13C1 H22 O18,26,22,18,0,0
C29 H16 O19,29,16,19,0,0
C21 H14 O18,21,14,18,0,0
C18 H19 N1 O10,18,19,10,1,0
C21 13C1 H20 O15,21,20,15,0,0
C27 H22 O17 S1,27,22,17,0,1
C33 13C1 H28 O22,33,28,22,0,0
C17 H19 N1 O11,17,19,11,1,0
C23 13C1 H26 O17,23,26,17,0,0
C18 H9 N1 O12,18,9,12,1,0
C35 13C1 H28 O24,35,28,24,0,0
C23 H13 N1 O13 S1,23,13,13,1,1
C14 13C1 H10 O12,14,10,12,0,0
C27 H28 O18,27,28,18,0,0
C46 H72 O1 S1,46,72,1,0,1
C18 H9 N1 O10,18,9,10,1,0
C26 H26 N2 O24 S1,26,26,24,2,1
C34 H22 O22,34,22,22,0,0
C24 H20 O15,24,20,15,0,0
C18 H20 N2 O11,18,20,11,2,0
C16 H9 N1 O10,16,9,10,1,0
C36 H72 N2 O2,36,72,2,2,0
C15 H16 O3 S1,15,16,3,0,1
C17 H12 O13 S1,17,12,13,0,1
C33 H34 O24,33,34,24,0,0
C21 H17 N1 O22,21,17,22,1,0
C28 H24 O17,28,24,17,0,0
C22 H22 O13,22,22,13,0,0
C31 H26 O23,31,26,23,0,0
C14 13C1 H12 O11 S1,14,12,11,0,1
C9 13C1 H8 O6,9,8,6,0,0
C28 H17 N1 O21,28,17,21,1,0
C31 H30 N2 O27 S1,31,30,27,2,1
C28 H24 O16,28,24,16,0,0
C28 H18 O18,28,18,18,0,0
C30 H23 N1 O14 S1,30,23,14,1,1
C33 H32 N2 O29 S1,33,32,29,2,1
C38 H78 O7,38,78,7,0,0
C25 H15 N1 O18,25,15,18,1,0
C30 H24 N2 O18 S1,30,24,18,2,1
C10 13C1 H10 O9,10,10,9,0,0
C24 H20 N2 O22 S1,24,20,22,2,1
C32 H16 O20,32,16,20,0,0
C26 13C1 H22 O16,26,22,16,0,0
C14 13C1 H12 O14,14,12,14,0,0
C13 13C1 H14 O9,13,14,9,0,0
C16 H7 N1 O10,16,7,10,1,0
C14 13C1 H12 O11,14,12,11,0,0
C24 H18 N2 O20 S1,24,18,20,2,1
C27 13C1 H24 O15,27,24,15,0,0
C32 H20 O21,32,20,21,0,0
C33 H20 N2 O19,33,20,19,2,0
C8 13C1 H6 O7,8,6,7,0,0
C16 H8 O9,16,8,9,0,0
C42 H77 N1 O8 S1,42,77,8,1,1
C20 H17 N1 O13,20,17,13,1,0
C24 H26 O13,24,26,13,0,0
C29 H28 O6,29,28,6,0,0
C15 H9 N1 O2,15,9,2,1,0
C21 H17 N1 O12,21,17,12,1,0
C20 13C1 H24 O15,20,24,15,0,0
C26 13C1 H20 O18,26,20,18,0,0
C27 13C1 H14 O20,27,14,20,0,0
C17 13C1 H20 O12,17,20,12,0,0
C33 H34 O22,33,34,22,0,0
C25 H16 O8 S1,25,16,8,0,1
C21 13C1 H20 O16,21,20,16,0,0
C27 H14 O16,27,14,16,0,0
C24 H28 N2 O20 S1,24,28,20,2,1
C32 H24 O18,32,24,18,0,0
C23 13C1 H20 N2 O19,23,20,19,2,0
C25 H23 N1 O17 S1,25,23,17,1,1
C16 H22 O8,16,22,8,0,0
C29 H15 N1 O16 S1,29,15,16,1,1
C14 H13 N1 O8,14,13,8,1,0
C47 H78 O6,47,78,6,0,0
C20 13C1 H22 O14,20,22,14,0,0
C10 H9 N1 O6,10,9,6,1,0
C28 H20 O19,28,20,19,0,0
C21 H19 N1 O20 S1,21,19,20,1,1
C15 H20 O11,15,20,11,0,0
C19 H17 N1 O10,19,17,10,1,0
C14 H18 O8,14,18,8,0,0
C13 13C1 H12 O12,13,12,12,0,0
C13 H12 N2 O8,13,12,8,2,0
C22 H10 O16,22,10,16,0,0
C24 H22 O20,24,22,20,0,0
C23 H14 O13,23,14,13,0,0
C15 H10 O6,15,10,6,0,0
C19 H13 N1 O8 S1,19,13,8,1,1
C31 H26 O24,31,26,24,0,0
C18 13C1 H22 O15,18,22,15,0,0
C41 H80 N2 O4 S1,41,80,4,2,1
C49 H76 O2,49,76,2,0,0
C27 13C1 H28 O17,27,28,17,0,0
C27 H25 N1 O17,27,25,17,1,0
C20 H17 N1 O22,20,17,22,1,0
C28 H21 N1 O16 S1,28,21,16,1,1
C20 H16 O11,20,16,11,0,0
C18 H20 N2 O10,18,20,10,2,0
C21 H20 N2 O12,21,20,12,2,0
C15 H22 O10,15,22,10,0,0
C15 13C1 H12 O11,15,12,11,0,0
C28 H16 N2 O17,28,16,17,2,0
C20 H20 O11,20,20,11,0,0
C21 13C1 H16 N2 O22 S1,21,16,22,2,1
C29 13C1 H12 O20,29,12,20,0,0
C13 13C1 H16 O12,13,16,12,0,0
C14 H18 O9,14,18,9,0,0
C23 H15 N1 O15,23,15,15,1,0
C25 H22 O15,25,22,15,0,0
C31 H24 O23,31,24,23,0,0
C31 13C1 H28 O24,31,28,24,0,0
C27 H26 N2 O24 S1,27,26,24,2,1
C35 H22 O22,35,22,22,0,0
C14 13C1 H14 O11,14,14,11,0,0
C24 13C1 H28 O16,24,28,16,0,0
C28 H20 O18,28,20,18,0,0
C31 H27 N1 O21 S1,31,27,21,1,1
C39 H78 O5,39,78,5,0,0
C28 H22 O20,28,22,20,0,0
C34 H23 N1 O20 34S1,34,23,20,1,0
C25 H20 N2 O15,25,20,15,2,0
C21 H14 N2 O19,21,14,19,2,0
C45 H76 N2 O3 34S1,45,76,3,2,0
C22 H11 N1 O19,22,11,19,1,0
C19 H14 O14 34S1,19,14,14,0,0
C26 13C1 H22 O22,26,22,22,0,0
C15 H6 O3 S1,15,6,3,0,1
C14 H13 N1 O11,14,13,11,1,0
C14 H12 O12 S1,14,12,12,0,1
C13 13C1 H12 O11,13,12,11,0,0
C25 H22 O14 S1,25,22,14,0,1
C32 H28 O24,32,28,24,0,0
C18 H16 O11,18,16,11,0,0
C11 13C1 H12 O9,11,12,9,0,0
C32 H28 O23,32,28,23,0,0
C24 13C1 H28 O18,24,28,18,0,0
C25 H22 O20,25,22,20,0,0
C31 13C1 H30 O22,31,30,22,0,0
C26 H20 O15 S1,26,20,15,0,1
C26 H13 N1 O18,26,13,18,1,0
C25 H16 O14,25,16,14,0,0
C20 H22 O15,20,22,15,0,0
C28 H24 N2 O18 S1,28,24,18,2,1
C16 13C1 H20 O9,16,20,9,0,0
C18 H12 O11,18,12,11,0,0
C40 H75 N1 S1,40,75,0,1,1
C18 13C1 H18 O12,18,18,12,0,0
C35 H28 O23,35,28,23,0,0
C21 13C1 H18 O16,21,18,16,0,0
C18 H8 O5 S1,18,8,5,0,1
C35 H26 O23,35,26,23,0,0
C18 H17 N1 O18,18,17,18,1,0
C18 H22 O10,18,22,10,0,0
C22 H18 O11 S1,22,18,11,0,1
C13 H8 O3,13,8,3,0,0
C15 H8 O8,15,8,8,0,0
C30 H25 N1 O21,30,25,21,1,0
C25 H22 O12,25,22,12,0,0
C30 H32 O18,30,32,18,0,0
C27 H22 O14,27,22,14,0,0
C17 H11 N1 O13,17,11,13,1,0
C24 H22 O23,24,22,23,0,0
C14 13C1 H10 O11,14,10,11,0,0
C16 H6 O10,16,6,10,0,0
C31 H32 N2 O27 S1,31,32,27,2,1
C44 H72 N2 O3,44,72,3,2,0
C27 H18 N2 O22,27,18,22,2,0
C34 H22 O25,34,22,25,0,0
C21 H22 O15,21,22,15,0,0
C18 H12 O13,18,12,13,0,0
C28 H20 O24,28,20,24,0,0
C14 H12 O5,14,12,5,0,0
C18 13C1 H16 O15,18,16,15,0,0
C22 H28 O11,22,28,11,0,0
C15 H15 N1 O11,15,15,11,1,0
C26 H12 O17,26,12,17,0,0
C28 H14 N2 O13,28,14,13,2,0
C24 H21 N1 O13,24,21,13,1,0
C9 H7 N1 O7,9,7,7,1,0
C21 13C1 H24 O17,21,24,17,0,0
C29 H13 N1 O16,29,13,16,1,0
C12 13C1 H18 O8,12,18,8,0,0
C23 H18 O15,23,18,15,0,0
C24 H18 O20,24,18,20,0,0
C34 H26 N2 O29,34,26,29,2,0
C22 13C1 H14 O18,22,14,18,0,0
C31 H22 N2 O19 S1,31,22,19,2,1
C26 H28 O14,26,28,14,0,0
C21 13C1 H26 O15,21,26,15,0,0
C36 13C1 H76 O5,36,76,5,0,0
C35 H22 O21,35,22,21,0,0
C21 13C1 H18 O14,21,18,14,0,0
C17 H14 O11,17,14,11,0,0
C18 13C1 H16 O18 S1,18,16,18,0,1
C29 H27 N1 O23,29,27,23,1,0
C28 H26 O18,28,26,18,0,0
C29 H28 O16,29,28,16,0,0
C17 H17 N1 O13,17,17,13,1,0
C22 H10 O14,22,10,14,0,0
C27 H26 O17,27,26,17,0,0
C21 H18 N2 O12,21,18,12,2,0
C41 H78 O5 S1,41,78,5,0,1
C15 13C1 H16 O8,15,16,8,0,0
C12 13C1 H16 O9,12,16,9,0,0
C19 H16 N2 O11,19,16,11,2,0
C9 H6 O4,9,6,4,0,0
C32 H20 N2 O18,32,20,18,2,0
C26 H30 O17,26,30,17,0,0
C15 13C1 H12 O12,15,12,12,0,0
C40 H72 N2 O2 S1,40,72,2,2,1
C25 H21 N1 O13,25,21,13,1,0
C22 H14 O14,22,14,14,0,0
C15 13C1 H20 O10,15,20,10,0,0
C11 H6 O6,11,6,6,0,0
C28 H16 O21,28,16,21,0,0
C21 H28 O12,21,28,12,0,0
C14 13C1 H18 O12,14,18,12,0,0
C15 H12 O11 S1,15,12,11,0,1
C27 H23 N1 O19,27,23,19,1,0
C24 H8 O14,24,8,14,0,0
C24 13C1 H18 O16,24,18,16,0,0
C24 H24 N2 O20 S1,24,24,20,2,1
C32 H20 O18,32,20,18,0,0
C42 H78 O3 S1,42,78,3,0,1
C22 H21 N1 O14,22,21,14,1,0
C16 H12 O4,16,12,4,0,0
C20 H13 N1 O12,20,13,12,1,0
C19 H10 O5 S1,19,10,5,0,1
C9 13C1 H10 O8,9,10,8,0,0
C35 H34 O24,35,34,24,0,0
C44 H72 O1 S1,44,72,1,0,1
C10 H4 O8,10,4,8,0,0
C26 13C1 H20 O16,26,20,16,0,0
C20 H7 N1 O10,20,7,10,1,0
C25 H16 O19,25,16,19,0,0
C28 13C1 H30 O20,28,30,20,0,0
C24 H22 O13,24,22,13,0,0
C34 H24 O24,34,24,24,0,0
C29 H26 O15,29,26,15,0,0
C21 H14 O16,21,14,16,0,0
C26 H19 N1 O17,26,19,17,1,0
C36 H28 O21,36,28,21,0,0
C19 H17 N1 O16 S1,19,17,16,1,1
C12 H16 O14 S1,12,16,14,0,1
C15 H14 O10 S1,15,14,10,0,1
C16 H11 N1 O9 S1,16,11,9,1,1
C23 H24 O14,23,24,14,0,0
C7 13C1 H6 O6,7,6,6,0,0
C28 H14 N2 O16,28,14,16,2,0
C23 H22 O23 S1,23,22,23,0,1
C16 H8 O13,16,8,13,0,0
C23 H24 N2 O23 S1,23,24,23,2,1
C31 H20 O21,31,20,21,0,0
C35 H28 O26,35,28,26,0,0
C29 H23 N1 O18,29,23,18,1,0
C25 H21 N1 O14,25,21,14,1,0
C32 13C1 H22 O23,32,22,23,0,0
C22 H12 O16,22,12,16,0,0
C26 13C1 H14 O18,26,14,18,0,0
C26 H15 N1 O16,26,15,16,1,0
C27 H26 N2 O17 S1,27,26,17,2,1
C35 H22 O15,35,22,15,0,0
C18 H16 O16,18,16,16,0,0
C26 H18 O18,26,18,18,0,0
C19 H13 N1 O14 S1,19,13,14,1,1
C10 H4 N2 O2,10,4,2,2,0
C35 H34 O25,35,34,25,0,0
C15 H12 O3 S1,15,12,3,0,1
C35 H72 O6,35,72,6,0,0
C28 H30 O20,28,30,20,0,0
C23 H16 O12 S1,23,16,12,0,1
C21 13C1 H16 O18,21,16,18,0,0
C16 H18 O14,16,18,14,0,0
C30 13C1 H28 O22,30,28,22,0,0
C28 H24 O20,28,24,20,0,0
C29 H20 N2 O18 34S1,29,20,18,2,0
C15 H11 N1 O10,15,11,10,1,0
C9 H22 N2 O10 S1 34S1,9,22,10,2,1
C19 13C1 H22 O15,19,22,15,0,0
C24 13C1 H20 N2 O20,24,20,20,2,0
C26 H23 N1 O18 S1,26,23,18,1,1
C12 H6 O9,12,6,9,0,0
C21 13C1 H26 O16,21,26,16,0,0
C29 H28 N2 O26 S1,29,28,26,2,1
C29 13C1 H30 O19,29,30,19,0,0
C31 H20 N2 O18,31,20,18,2,0
C20 H21 N1 O20 S1,20,21,20,1,1
C14 H12 O9 S1,14,12,9,0,1
C25 H16 O15,25,16,15,0,0
C16 H16 O7,16,16,7,0,0
C18 H26 O11,18,26,11,0,0
C26 H24 O17,26,24,17,0,0
C27 H28 O16,27,28,16,0,0
C18 13C1 H22 O14,18,22,14,0,0
C42 H77 N1 O2 S1,42,77,2,1,1
C42 H73 N1 O6,42,73,6,1,0
C23 H14 O14,23,14,14,0,0
C24 13C1 H24 O17,24,24,17,0,0
C26 13C1 H14 O17,26,14,17,0,0
C26 H14 O18,26,14,18,0,0
C30 H19 N1 O22,30,19,22,1,0
C14 13C1 H16 O7,14,16,7,0,0
C14 H10 O13,14,10,13,0,0
C25 H30 O18,25,30,18,0,0
C11 H12 O8,11,12,8,0,0
C24 H24 N2 O22 S1,24,24,22,2,1
C32 H20 O20,32,20,20,0,0
C31 H15 N1 O20,31,15,20,1,0
C23 H17 N1 O15,23,17,15,1,0
C20 H21 N1 O12,20,21,12,1,0
C18 H15 N1 O11 S1,18,15,11,1,1
C15 H20 O6,15,20,6,0,0
C29 H25 N1 O17,29,25,17,1,0
C28 H25 N1 O18 S1,28,25,18,1,1
C14 H10 O9,14,10,9,0,0
C10 H4 O6,10,4,6,0,0
C23 13C1 H24 O18,23,24,18,0,0
C25 13C1 H14 O18,25,14,18,0,0
C19 H11 N1 O12,19,11,12,1,0
C20 13C1 H24 O13,20,24,13,0,0
C24 H18 O6 S1,24,18,6,0,1
C35 H66 O4,35,66,4,0,0
C20 13C1 H26 O12,20,26,12,0,0
C27 H17 N1 O17,27,17,17,1,0
C9 H7 N1 O9,9,7,9,1,0
C20 13C1 H20 O14,20,20,14,0,0
C23 H13 N1 O10 S1,23,13,10,1,1
C29 H25 N1 O19,29,25,19,1,0
C24 H19 N1 O17,24,19,17,1,0
