formula_string,C,H,O,N,S
C15 H16 O15 S1,15,16,15,0,1
C45 H80 N2 O3 34S1,45,80,3,2,0
C44 H78 N2 O6,44,78,6,2,0
C29 H28 N2 O25 S1,29,28,25,2,1
C23 H16 O15,23,16,15,0,0
C18 H18 O8,18,18,8,0,0
C27 H32 N2 O23 S1,27,32,23,2,1
C35 H28 O21,35,28,21,0,0
C16 H22 O12,16,22,12,0,0
C29 H14 O20,29,14,20,0,0
C18 H12 O10,18,12,10,0,0
C36 H74 O3 S1,36,74,3,0,1
C23 H21 N1 O12,23,21,12,1,0
C30 13C1 H28 O19,30,28,19,0,0
C11 H13 N1 O6,11,13,6,1,0
C42 H76 N2 O1 34S1,42,76,1,2,0
C28 H18 O21,28,18,21,0,0
C7 H6 O4,7,6,4,0,0
C20 H19 N1 O21 S1,20,19,21,1,1
C24 H30 O17,24,30,17,0,0
C30 H23 N1 O20,30,23,20,1,0
C20 13C1 H24 O16,20,24,16,0,0
C11 H16 O9,11,16,9,0,0
C26 H28 O15,26,28,15,0,0
C17 H16 N2 O9,17,16,9,2,0
C14 H15 N1 O9,14,15,9,1,0
C20 H18 N2 O18,20,18,18,2,0
C9 H7 N1 O6,9,7,6,1,0
C29 13C1 H24 O19,29,24,19,0,0
C37 H76 O5,37,76,5,0,0
C10 13C1 H10 O7,10,10,7,0,0
C27 H22 O24,27,22,24,0,0
C35 H26 O24,35,26,24,0,0
C26 H24 O19,26,24,19,0,0
C11 H10 O5,11,10,5,0,0
C24 H24 O16,24,24,16,0,0
C36 H74 O2 S1,36,74,2,0,1
C31 13C1 H26 O20,31,26,20,0,0
C21 H21 N1 O18 34S1,21,21,18,1,0
C31 H25 N1 O23,31,25,23,1,0
C20 H16 O15,20,16,15,0,0
C21 H17 N1 O13,21,17,13,1,0
C17 H20 N2 O9,17,20,9,2,0
C25 H17 N1 O14 S1,25,17,14,1,1
C27 H32 O19,27,32,19,0,0
C24 H21 N1 O15,24,21,15,1,0
